100 3580
3 13 63
3 14 68
14 3 8
3 15 82
3 16 79
16 3 63
3 17 77
3 18 58
3 19 40
3 20 93
3 21 71
3 22 17
3 23 36
3 24 35
3 25 71
3 26 25
26 3 67
3 27 94
27 3 11
3 28 24
3 30 53
3 31 38
3 32 11
3 33 98
3 34 8
3 36 52
3 37 83
3 38 98
3 39 85
3 41 49
3 42 96
42 3 26
3 43 62
43 3 60
3 44 20
3 46 40
3 47 78
3 48 33
3 50 80
3 54 93
3 55 58
3 58 82
3 59 69
3 60 26
3 61 3
3 62 85
3 64 93
3 65 93
3 67 92
3 68 56
3 74 66
3 76 58
3 77 14
3 79 44
3 82 32
82 3 79
3 84 83
3 85 57
3 86 28
3 89 24
3 90 6
3 91 72
3 92 60
3 93 34
3 94 100
3 97 33
3 98 40
3 99 49
4 7 19
4 8 78
4 9 100
9 4 83
4 11 39
4 13 13
13 4 8
4 14 1
4 15 18
4 16 52
4 17 58
17 4 57
4 18 21
4 19 99
4 20 68
4 21 44
4 23 40
23 4 59
4 25 51
25 4 58
4 28 33
4 29 10
4 30 34
30 4 77
4 31 15
4 32 10
4 33 41
4 35 89
4 37 62
4 40 53
4 41 45
4 43 78
4 44 64
4 45 71
4 46 42
4 48 55
4 50 7
4 51 46
4 52 10
4 54 82
54 4 53
4 55 68
4 56 38
4 57 94
4 58 53
4 59 10
4 60 29
4 62 64
4 64 27
4 67 4
4 68 33
4 69 7
4 70 96
4 71 40
4 72 17
4 74 86
4 77 22
4 78 2
4 79 55
4 80 3
80 4 52
4 82 71
4 83 30
4 85 42
4 86 51
4 87 81
4 89 3
4 90 79
4 93 9
4 95 36
4 97 16
4 98 62
4 99 100
5 7 13
5 8 87
5 11 78
5 12 15
5 13 94
5 15 100
5 16 84
5 17 38
17 5 43
5 18 59
18 5 42
5 19 48
5 20 31
20 5 81
5 21 86
5 22 43
22 5 99
5 23 72
5 24 31
5 25 35
5 26 12
5 27 8
27 5 38
5 31 10
5 33 61
33 5 93
5 34 14
5 38 80
5 41 42
5 42 51
5 43 81
43 5 36
5 44 24
5 48 37
5 49 35
5 53 28
5 54 48
5 55 81
5 56 54
5 58 75
5 59 28
5 60 88
5 61 48
61 5 85
5 62 45
5 63 23
5 65 30
65 5 50
5 66 24
5 67 63
5 68 46
5 70 6
70 5 3
5 71 5
5 75 10
5 77 96
5 78 38
5 79 20
5 81 89
5 84 49
5 85 78
5 87 96
87 5 6
5 90 14
5 91 58
91 5 40
5 92 82
92 5 14
5 93 19
5 94 59
5 95 76
5 96 16
5 97 94
5 98 66
5 99 41
6 7 17
6 8 81
6 11 83
6 12 91
6 13 99
6 15 60
6 16 53
16 6 23
6 20 5
6 22 27
22 6 92
6 23 5
6 24 100
6 25 65
6 28 54
6 29 38
29 6 63
6 32 22
6 34 87
6 35 58
6 36 42
6 37 46
6 38 80
6 41 19
6 44 60
6 45 16
6 46 31
6 47 38
6 48 82
6 49 86
6 50 80
6 52 88
6 57 51
6 58 66
58 6 91
6 59 76
6 60 71
6 61 79
6 62 37
6 63 37
6 65 28
6 66 4
6 68 47
68 6 73
6 69 20
6 76 92
6 78 91
6 79 28
6 80 51
6 81 57
6 84 67
6 88 13
6 89 99
6 90 64
6 92 50
6 96 33
6 99 28
7 9 44
7 11 41
7 12 18
7 13 69
7 14 4
7 16 15
7 18 94
7 19 33
7 20 67
20 7 40
7 21 1
7 22 51
7 24 59
24 7 22
7 25 16
7 28 90
7 29 98
7 31 75
7 32 97
7 34 75
7 35 18
7 36 55
7 41 12
7 42 54
42 7 87
7 44 11
7 45 48
7 46 89
7 47 100
47 7 96
7 48 11
7 49 9
7 50 16
7 53 62
7 56 46
7 57 3
7 58 40
7 59 13
7 60 50
60 7 76
7 61 59
7 62 72
7 64 90
7 65 4
7 66 8
7 68 75
7 70 53
7 74 81
74 7 5
7 75 33
7 78 17
7 79 64
7 80 29
7 81 39
7 82 92
7 84 62
7 85 94
7 88 13
7 89 31
7 90 52
7 91 91
7 92 98
7 93 47
7 95 31
7 96 11
7 97 1
7 99 30
8 9 41
8 10 21
8 11 77
8 13 63
8 14 57
14 8 83
8 15 6
8 17 49
8 18 25
8 19 25
8 21 42
8 22 4
8 23 88
8 24 8
8 26 11
8 28 18
8 30 79
8 31 75
8 35 67
8 36 88
8 37 10
8 38 16
8 40 55
8 41 3
8 42 25
8 43 60
8 45 29
8 47 38
8 48 81
8 49 7
8 50 37
8 51 79
8 54 80
54 8 91
8 55 23
8 56 10
8 57 20
8 58 79
8 59 63
8 60 76
8 61 63
8 62 80
8 63 37
8 65 99
8 66 3
8 67 68
8 68 66
8 69 55
8 70 7
8 71 2
71 8 33
8 72 10
8 73 72
8 76 37
8 77 96
8 78 75
8 79 29
79 8 69
8 81 36
8 82 11
8 83 15
8 84 7
8 85 7
8 86 19
8 87 1
8 88 63
88 8 76
8 89 33
89 8 16
8 90 79
8 91 42
8 92 84
8 94 70
8 95 65
8 96 48
8 98 14
9 12 16
9 13 92
9 15 32
9 16 41
9 17 18
9 18 91
9 21 22
9 23 18
9 25 59
9 26 72
9 27 63
9 28 54
9 29 43
9 30 55
9 31 64
9 32 46
9 33 87
9 35 100
9 36 79
9 38 82
9 40 41
9 41 38
9 42 39
9 43 41
9 44 92
9 45 23
9 46 82
9 47 94
47 9 13
9 48 95
9 49 95
9 50 34
9 51 57
9 53 70
9 54 96
9 57 74
57 9 41
9 58 63
9 59 94
9 60 84
9 61 18
9 62 7
62 9 75
9 64 99
9 65 50
9 66 76
9 67 9
9 68 44
9 69 35
9 71 35
9 72 15
9 73 73
9 74 17
9 75 83
9 76 65
9 77 72
9 78 27
9 80 85
80 9 12
9 81 53
9 82 33
82 9 25
9 84 80
9 86 19
9 88 47
9 90 5
9 92 16
9 94 4
9 96 97
9 98 83
98 9 95
9 99 62
10 11 46
10 14 97
10 16 87
10 17 56
10 18 94
10 19 19
10 20 28
10 21 5
10 24 76
10 25 46
10 26 44
10 28 81
10 29 36
10 31 71
31 10 20
10 32 88
10 33 99
10 35 18
10 36 31
10 38 57
10 39 58
10 41 21
10 42 51
10 44 59
10 49 69
10 51 39
10 52 34
10 53 2
10 54 73
10 55 90
10 57 99
10 58 20
10 59 42
10 60 53
60 10 31
10 66 38
10 68 53
10 70 69
70 10 90
10 71 44
10 73 92
10 74 35
10 78 9
10 79 4
10 80 72
10 81 58
81 10 27
10 82 62
10 83 15
83 10 38
10 85 53
10 86 42
10 87 47
10 89 46
10 91 15
10 92 66
10 93 100
10 95 96
10 97 84
97 10 8
10 98 94
11 12 87
11 14 33
14 11 64
11 16 85
11 18 91
11 20 32
11 21 3
11 22 20
11 24 56
11 26 73
11 28 59
11 29 59
11 30 50
11 31 2
11 32 12
11 35 40
35 11 69
11 36 26
36 11 81
11 38 2
11 39 38
11 40 23
11 41 17
11 44 1
11 46 19
11 47 7
47 11 56
11 48 86
11 50 54
11 52 77
11 53 67
11 54 94
11 55 57
11 56 76
11 57 7
11 60 78
11 61 73
11 62 79
11 63 84
11 64 76
11 65 98
11 69 9
11 70 86
11 71 90
11 72 19
11 73 30
11 74 58
11 75 34
75 11 39
11 76 34
11 77 42
11 78 2
11 79 89
11 83 31
11 84 67
11 85 62
11 86 39
11 87 44
11 88 2
11 89 12
11 90 30
11 91 51
11 93 52
11 97 100
11 98 77
98 11 7
12 16 57
12 18 78
12 19 87
12 20 39
12 21 78
12 23 34
23 12 48
12 25 69
12 26 32
12 27 60
27 12 71
12 32 35
12 33 33
12 34 73
12 35 41
12 37 61
12 40 81
12 41 83
12 42 2
42 12 59
12 44 24
12 45 68
12 46 17
12 47 90
12 49 66
12 50 18
12 51 49
12 52 77
12 55 75
12 56 62
56 12 15
12 60 68
12 65 88
12 66 14
12 67 84
12 69 56
12 70 33
12 74 37
12 75 99
75 12 79
12 76 76
12 77 59
12 80 59
80 12 61
12 81 49
12 83 6
12 84 53
12 86 28
12 87 66
12 88 43
12 89 3
12 90 69
12 91 20
12 94 34
12 95 89
12 97 53
12 98 57
13 15 33
13 16 96
13 18 19
13 19 17
13 20 79
13 21 43
13 23 1
13 24 14
13 27 63
13 29 70
13 31 59
13 32 56
13 33 30
33 13 63
13 35 36
13 37 92
13 39 13
13 41 82
13 43 60
13 44 98
13 45 22
13 46 1
13 51 73
13 54 34
13 55 52
13 56 36
13 57 75
13 62 35
13 63 68
13 64 68
13 65 36
13 66 93
13 67 42
13 70 63
13 71 69
13 72 67
13 74 54
13 75 61
13 77 42
13 78 36
13 79 61
13 80 13
13 83 15
13 84 80
13 86 62
13 88 30
13 89 90
89 13 48
13 90 45
90 13 96
13 91 87
13 93 83
13 95 9
95 13 15
13 96 92
13 99 68
14 16 65
14 17 30
14 20 66
14 21 69
14 22 11
14 23 68
14 24 81
14 25 31
14 26 9
14 28 55
14 29 65
14 30 85
14 31 10
14 32 60
14 33 63
14 34 23
34 14 52
14 35 22
14 37 99
14 38 73
14 39 73
14 41 28
14 42 32
14 46 42
14 47 50
14 48 64
14 50 39
14 51 25
51 14 36
14 52 69
14 53 13
14 54 13
14 56 6
56 14 77
14 57 74
14 60 31
14 61 27
14 62 76
14 63 99
63 14 84
14 64 7
64 14 96
14 65 79
14 66 26
14 67 25
14 69 91
14 70 12
14 73 36
14 74 84
14 76 77
14 77 31
14 79 24
14 80 39
14 81 45
14 83 57
14 84 97
14 86 15
14 87 80
14 90 12
14 91 72
14 92 92
14 93 30
14 95 44
14 96 18
14 98 50
14 99 14
15 16 31
15 17 21
15 21 85
15 23 100
15 24 56
24 15 26
15 25 63
25 15 16
15 27 68
15 28 78
15 30 12
30 15 77
15 32 91
15 33 27
15 35 12
15 36 6
36 15 57
15 38 12
15 39 46
15 41 28
15 43 40
15 44 29
15 45 73
15 46 1
46 15 14
15 47 49
15 49 96
15 50 71
15 51 100
15 58 98
58 15 17
15 59 64
15 60 96
15 61 66
15 62 52
15 63 53
15 64 19
15 65 22
15 66 39
15 67 28
67 15 92
15 69 74
15 71 17
15 72 54
15 73 45
15 74 22
15 77 97
15 78 65
15 79 22
15 80 30
15 82 20
15 83 43
15 85 98
15 86 68
15 88 86
15 89 80
15 90 62
15 91 78
15 94 14
15 97 53
97 15 14
15 99 12
16 17 28
16 20 3
16 21 77
16 23 20
16 24 68
16 29 84
16 31 95
16 32 28
16 33 44
16 35 37
16 36 62
16 37 24
16 38 79
16 40 57
16 41 94
16 43 44
16 44 37
16 45 23
16 46 42
16 49 71
16 51 15
16 52 62
16 54 38
16 56 28
16 57 27
16 58 54
16 59 65
16 61 91
16 63 33
16 64 51
16 65 28
16 68 81
16 70 36
70 16 12
16 71 34
16 72 1
16 73 24
16 74 17
74 16 6
16 75 83
16 76 75
16 78 11
16 80 45
16 83 79
16 84 73
16 85 39
16 86 98
16 87 59
16 88 64
16 91 28
91 16 12
16 92 83
16 94 83
16 95 53
95 16 63
16 96 51
16 97 55
97 16 54
16 98 82
16 99 55
99 16 35
17 20 28
17 21 30
17 22 22
17 24 32
17 25 83
17 26 35
17 27 1
17 28 59
17 30 33
17 31 78
17 32 38
17 33 77
17 34 13
17 35 70
17 36 4
17 38 66
17 39 99
17 40 72
17 41 78
41 17 19
17 43 25
17 45 26
17 47 29
17 48 84
17 52 14
17 53 30
17 54 32
17 55 55
55 17 54
17 57 96
17 58 37
17 59 44
17 61 48
17 64 92
17 65 41
17 67 3
17 73 94
17 74 95
17 75 47
17 76 21
17 79 38
17 83 76
17 85 33
85 17 46
17 89 74
17 90 37
17 91 29
17 92 40
92 17 2
17 93 42
17 95 98
17 97 57
17 99 93
18 19 58
18 20 88
18 21 73
18 22 85
18 25 57
18 28 47
18 31 100
18 33 39
33 18 53
18 34 38
18 35 45
18 37 18
18 38 67
18 41 98
18 42 64
42 18 61
18 43 73
18 44 77
18 46 74
18 47 5
18 48 86
18 49 70
18 50 24
18 52 93
18 53 79
18 55 90
18 56 9
18 57 39
18 58 68
18 59 98
59 18 55
18 60 78
60 18 25
18 61 33
18 63 30
18 67 100
18 68 28
18 69 81
18 70 41
18 71 36
18 72 29
72 18 36
18 73 7
18 74 8
74 18 16
18 75 73
75 18 67
18 77 81
77 18 37
18 79 94
18 82 11
18 84 98
18 85 13
18 86 40
18 87 19
87 18 60
18 90 3
90 18 75
18 91 69
18 93 28
18 95 98
18 96 100
18 97 11
19 21 9
19 22 44
19 23 58
19 25 42
19 26 38
26 19 21
19 28 61
19 29 51
29 19 31
19 30 39
19 31 73
19 33 20
19 36 56
19 38 47
19 39 54
19 40 20
19 41 60
41 19 16
19 43 11
19 44 6
19 45 77
19 49 49
19 50 2
19 52 26
19 53 94
53 19 40
19 54 78
19 56 18
19 57 81
19 58 29
19 59 66
59 19 34
19 60 22
60 19 43
19 61 83
19 62 28
19 63 41
19 64 9
19 65 26
19 68 22
19 69 96
19 70 55
19 71 9
19 72 65
19 74 82
19 75 88
19 76 12
19 77 28
19 82 71
19 83 34
19 84 99
19 85 69
19 86 30
19 87 43
19 88 90
88 19 92
19 89 53
19 90 4
19 92 29
19 93 57
19 94 51
19 95 36
19 96 78
19 97 100
19 98 11
98 19 5
19 99 99
20 21 29
20 22 60
20 23 38
20 26 85
20 27 68
20 28 80
20 29 47
20 30 31
20 31 5
20 32 51
20 34 38
20 35 90
20 37 38
20 38 63
20 39 86
20 41 56
20 42 12
20 43 78
20 44 88
20 46 99
20 47 96
47 20 10
20 48 24
20 51 66
20 52 34
20 53 88
20 54 56
20 55 25
20 56 1
20 57 62
20 58 61
20 60 48
20 61 44
20 62 46
62 20 54
20 65 27
20 66 6
20 68 82
20 69 30
20 71 6
20 73 12
20 74 81
20 76 26
20 79 74
20 80 19
20 82 60
20 85 21
20 86 46
20 90 83
20 91 19
20 93 44
20 94 13
20 95 90
20 96 67
96 20 22
20 98 19
20 99 42
21 23 44
21 24 4
21 27 76
21 28 58
21 29 75
21 30 86
30 21 68
21 31 4
21 32 99
21 33 83
21 35 57
21 36 41
21 37 26
21 39 61
21 41 67
21 42 27
21 44 14
21 48 49
21 51 37
21 52 61
21 54 19
21 55 24
21 57 21
21 58 70
21 61 51
21 63 62
21 65 84
21 67 60
21 69 82
21 70 88
70 21 51
21 71 59
21 73 8
21 74 100
21 75 37
21 76 25
21 77 11
21 78 5
21 79 26
21 80 21
21 82 94
21 83 59
21 84 41
21 85 88
21 86 27
21 87 56
21 89 96
21 90 69
21 91 34
21 92 43
21 94 44
21 95 90
21 97 84
21 98 69
21 99 5
22 23 47
22 25 71
25 22 100
22 26 2
22 27 100
22 28 91
22 29 64
22 30 21
22 31 2
22 32 88
22 33 62
22 34 15
22 36 86
22 38 59
22 39 7
22 40 68
22 41 80
22 42 76
42 22 64
22 44 93
22 46 71
22 47 74
22 48 21
22 50 40
22 52 60
22 55 58
22 58 22
22 60 11
22 61 74
22 62 6
22 63 90
22 64 30
22 65 84
22 67 23
22 70 45
22 75 55
22 77 83
77 22 20
22 78 100
22 79 80
22 82 96
22 86 90
22 89 27
22 90 38
22 91 95
22 94 29
94 22 19
22 95 3
22 97 94
22 98 23
23 24 35
23 25 54
23 26 35
26 23 23
23 27 16
23 28 41
28 23 66
23 30 27
23 31 20
23 32 60
23 36 46
23 37 78
23 38 23
23 42 27
23 44 31
44 23 18
23 46 74
23 47 64
23 48 6
23 49 52
23 50 98
23 51 44
23 52 41
23 53 65
23 54 82
23 56 59
23 57 48
23 61 46
23 62 55
23 63 44
23 65 58
23 66 58
23 67 18
23 70 20
23 71 99
23 76 71
23 78 13
23 79 86
23 80 43
23 82 65
23 83 7
23 84 65
23 85 26
23 86 67
23 87 36
23 88 18
23 89 57
23 92 83
23 94 48
23 96 73
23 98 82
24 25 89
24 26 37
24 28 98
24 29 54
24 32 94
24 33 78
33 24 45
24 34 54
24 35 89
24 36 92
24 37 52
24 38 47
24 39 4
24 41 88
41 24 98
24 42 32
24 43 27
24 44 13
24 48 46
24 50 2
24 52 57
52 24 95
24 54 5
24 55 40
24 56 73
24 57 63
24 58 18
58 24 90
24 59 31
24 61 72
24 63 76
24 64 76
24 65 63
24 66 72
66 24 74
24 68 53
24 69 100
24 70 62
24 71 74
24 72 44
24 75 37
24 77 85
24 78 16
24 79 21
24 82 39
24 83 59
24 84 67
24 85 33
24 86 84
24 88 5
88 24 9
24 89 25
24 93 39
24 94 41
24 96 84
96 24 68
24 97 24
24 98 46
98 24 44
24 99 30
25 26 95
25 28 27
28 25 68
25 29 99
25 30 30
25 32 42
25 33 78
25 35 10
35 25 2
25 37 22
37 25 64
25 38 20
25 39 36
25 40 90
25 41 41
25 42 10
25 43 12
25 44 90
25 45 77
25 46 7
25 47 83
25 48 13
25 49 3
25 51 61
25 52 42
25 53 39
25 54 3
25 56 56
56 25 89
25 58 20
25 60 100
25 63 30
25 65 24
25 69 13
25 70 22
25 71 99
25 72 29
25 75 19
25 76 87
25 78 35
25 79 42
25 80 84
25 81 2
25 82 86
25 84 70
84 25 41
25 85 49
25 87 71
25 89 77
25 90 88
25 91 32
25 92 1
25 93 80
25 94 29
25 99 72
26 28 19
28 26 62
26 30 2
26 32 86
26 34 62
26 35 44
26 37 83
26 38 21
26 39 42
26 40 70
26 41 11
26 42 37
26 45 51
26 46 86
26 48 49
26 49 100
26 50 46
26 51 93
26 52 80
26 53 19
26 57 50
26 58 16
58 26 56
26 59 2
26 61 92
26 62 47
62 26 56
26 64 60
26 65 45
26 66 74
26 68 74
68 26 78
26 70 25
26 72 23
26 73 35
26 77 25
26 78 80
26 80 19
26 82 2
26 84 51
26 85 59
26 87 62
26 89 72
26 91 62
26 93 7
26 94 1
26 95 11
26 96 93
26 97 98
26 98 15
26 99 25
99 26 98
27 28 1
27 30 20
27 31 15
31 27 77
27 32 34
27 33 63
27 35 37
27 38 88
27 39 5
27 40 29
27 42 51
27 43 85
27 45 90
27 49 24
27 50 97
50 27 65
27 51 88
27 52 94
27 53 48
27 54 51
27 55 9
27 56 88
27 59 87
27 61 55
27 62 10
62 27 63
27 63 22
63 27 88
27 64 52
27 65 56
27 68 7
27 69 9
27 70 33
27 72 95
27 73 30
27 74 76
27 75 76
27 76 28
27 77 47
27 78 91
27 80 51
27 81 73
27 82 96
27 84 28
27 86 83
27 88 30
27 89 77
27 90 54
27 91 34
27 92 59
27 93 15
27 94 68
94 27 9
27 96 89
27 97 32
27 98 65
98 27 23
27 99 6
28 29 73
28 30 68
28 33 23
28 34 19
34 28 53
28 35 87
28 36 11
28 37 27
28 39 24
28 43 14
28 44 15
28 46 28
28 48 27
28 50 56
50 28 47
28 51 86
28 52 72
52 28 31
28 55 44
28 56 35
28 57 74
28 58 68
28 60 98
28 63 1
28 65 4
28 67 94
28 68 51
28 70 69
28 74 61
28 75 86
28 76 78
28 77 44
28 78 85
28 79 12
28 80 36
28 83 2
28 84 48
28 85 32
28 86 21
28 89 85
28 90 63
28 92 42
28 93 75
93 28 2
28 94 39
28 95 45
28 96 7
28 97 21
28 98 64
29 31 31
29 33 21
29 35 73
29 36 78
29 37 62
29 38 34
29 39 63
29 41 78
29 42 9
29 46 76
29 47 58
29 49 30
29 50 61
29 51 87
29 52 51
29 54 60
54 29 4
29 55 18
29 57 46
29 58 97
29 59 15
29 60 25
29 62 24
62 29 11
29 63 6
29 64 53
29 65 58
29 66 88
29 67 83
29 70 35
29 71 62
29 73 86
29 75 76
29 78 39
29 79 97
29 81 86
29 82 33
29 83 56
29 84 53
29 86 8
29 87 64
29 88 90
29 89 9
29 91 52
29 92 4
29 93 69
29 95 45
29 96 16
29 97 28
97 29 31
29 98 18
29 99 38
30 32 97
30 35 33
30 36 28
30 37 48
30 38 81
30 40 72
30 42 98
30 43 55
30 44 25
30 45 71
30 46 93
30 47 57
30 48 26
30 51 20
30 54 34
30 60 30
30 61 83
30 62 31
30 63 64
30 64 22
30 65 31
30 66 75
30 69 55
30 70 74
30 74 17
30 75 1
30 76 88
30 77 35
30 79 4
30 80 16
30 81 40
30 85 95
30 86 57
30 87 71
30 88 42
30 90 47
30 91 23
30 92 48
30 93 55
93 30 4
30 95 21
30 96 89
30 97 21
30 98 27
30 99 28
31 32 96
31 33 20
31 35 67
31 36 82
31 38 70
31 40 33
31 41 89
31 43 31
31 45 19
31 46 60
31 47 51
31 49 91
31 50 79
31 51 7
31 53 50
31 54 61
31 55 79
31 56 75
31 57 17
31 58 67
31 59 17
31 62 45
31 64 92
64 31 75
31 65 76
65 31 72
31 67 72
31 68 62
31 70 81
31 71 65
31 72 51
72 31 65
31 73 63
31 75 80
31 77 27
31 80 7
31 81 44
31 82 4
31 83 97
31 84 82
31 88 12
31 89 66
89 31 100
31 92 41
31 93 48
31 96 20
31 97 82
97 31 62
31 98 28
31 99 85
32 34 9
32 35 63
32 36 55
32 37 25
32 39 96
32 40 58
32 42 59
32 44 47
32 45 80
32 48 35
32 49 14
32 50 18
32 53 76
32 55 9
32 56 89
32 58 88
32 61 72
32 62 62
32 63 75
32 66 43
32 68 63
32 69 57
32 70 56
32 71 24
32 73 18
32 74 25
32 76 14
32 77 80
32 78 64
32 83 21
32 84 55
32 85 97
32 86 5
32 87 4
32 89 82
32 91 41
32 93 19
93 32 35
32 94 14
32 95 21
32 96 78
32 97 53
32 98 81
33 34 81
33 36 44
33 38 49
33 39 20
33 43 59
43 33 5
33 44 90
33 46 55
33 48 29
33 50 85
33 53 14
33 54 41
33 56 64
33 58 86
58 33 27
33 59 72
33 60 12
33 61 1
33 62 2
62 33 89
33 63 13
33 68 44
33 71 91
71 33 44
33 72 39
33 73 4
33 74 84
33 75 14
33 79 57
33 80 82
80 33 4
33 83 33
33 84 16
33 86 32
33 90 12
33 91 78
33 92 43
33 94 33
33 95 58
33 96 34
33 98 50
33 99 26
99 33 81
34 37 99
34 38 90
34 39 26
34 41 56
34 43 40
34 44 48
34 45 3
34 46 44
34 47 3
34 48 68
48 34 50
34 49 30
34 51 4
34 52 7
52 34 90
34 53 82
34 54 46
34 55 53
34 56 28
34 60 72
60 34 5
34 63 13
34 64 18
34 66 25
34 69 68
34 71 72
71 34 53
34 72 6
34 73 90
34 74 11
34 77 94
34 80 43
34 81 75
34 82 8
34 84 24
34 85 10
34 86 83
86 34 26
34 87 88
34 88 25
34 89 51
34 90 98
34 92 40
34 93 10
34 95 76
34 99 25
35 36 64
36 35 38
35 37 74
35 38 88
35 41 77
35 43 47
35 48 97
35 53 35
35 54 90
35 55 9
35 56 97
56 35 35
35 57 60
35 58 30
35 59 72
35 61 67
35 62 72
35 63 76
35 64 40
35 67 68
35 68 2
35 69 1
35 70 30
35 73 78
35 74 36
35 76 11
35 79 83
35 80 61
35 83 81
35 85 90
35 86 39
35 87 22
35 89 78
35 90 94
35 92 88
92 35 36
35 93 82
35 94 57
36 37 65
36 40 35
40 36 47
36 41 2
36 42 79
36 44 54
36 45 28
36 46 87
36 47 3
36 48 74
36 50 52
36 57 4
36 58 98
58 36 37
36 59 91
36 60 39
36 61 69
36 62 46
36 63 19
36 64 25
64 36 27
36 65 42
36 66 89
36 68 46
36 69 76
36 71 81
36 72 17
36 73 13
36 74 49
36 75 52
36 76 19
36 77 83
36 78 74
36 80 87
36 83 99
36 84 25
36 85 64
36 86 71
36 87 44
36 88 91
36 90 46
36 91 94
36 94 73
36 95 54
36 97 49
36 98 64
37 39 92
37 40 54
37 41 85
37 42 42
37 43 16
37 45 60
37 46 63
37 47 97
37 48 86
37 51 46
37 52 6
37 53 15
37 54 32
37 57 45
37 58 45
37 59 92
37 60 4
37 61 97
37 62 76
37 64 37
37 65 79
37 66 85
37 68 52
37 69 62
37 72 13
37 73 4
37 76 65
37 81 97
37 82 83
37 83 15
37 84 72
37 85 35
37 87 62
37 88 19
37 89 97
37 90 22
37 91 34
37 93 13
37 94 80
37 97 26
38 42 83
38 43 43
38 44 26
38 46 20
38 47 71
38 48 76
38 49 99
38 51 81
38 55 12
55 38 80
38 59 18
59 38 64
38 61 45
61 38 65
38 62 44
38 63 83
38 66 54
38 68 21
38 70 48
38 71 56
38 73 67
38 75 31
38 76 15
38 78 74
38 80 66
38 81 95
38 84 82
38 86 66
38 88 65
38 92 93
38 94 3
38 95 76
95 38 42
38 96 85
38 97 73
39 40 65
39 41 91
41 39 60
39 47 81
39 48 18
48 39 67
39 51 34
39 52 7
39 53 83
39 56 50
39 57 60
39 61 33
39 62 62
39 68 95
39 69 55
39 71 11
39 72 89
39 75 66
39 76 95
76 39 79
39 77 75
39 78 88
39 79 41
39 80 89
39 82 78
82 39 35
39 83 33
39 84 98
39 85 64
39 86 77
39 89 95
39 90 87
39 92 93
39 93 15
39 94 92
39 97 3
39 98 64
39 99 52
40 43 14
43 40 37
40 45 93
40 46 61
40 47 77
40 50 45
50 40 5
40 51 33
40 52 22
40 53 57
40 56 4
40 57 22
40 58 61
40 60 70
40 62 94
40 63 89
40 64 87
40 65 93
65 40 50
40 67 77
40 71 28
40 73 17
73 40 49
40 74 3
40 77 36
40 79 39
40 82 86
40 85 66
40 88 83
88 40 10
40 89 28
40 90 69
40 91 47
40 92 21
40 94 60
