100 3606
2 94 10
2 95 42
3 4 75
3 7 27
7 3 63
3 9 89
3 10 70
3 11 30
3 13 15
3 14 64
3 15 77
3 17 5
3 20 5
3 22 53
3 23 74
3 24 80
3 27 84
3 28 66
3 30 30
3 31 31
3 34 7
3 35 38
3 36 98
3 37 30
3 38 78
3 40 77
3 41 90
3 47 87
47 3 46
3 48 24
3 50 14
3 52 85
3 54 44
3 55 1
3 56 79
3 60 29
60 3 83
3 61 78
3 63 21
3 65 63
65 3 96
3 67 21
3 68 83
3 69 77
3 72 35
3 75 53
3 76 70
3 77 51
3 78 90
3 79 13
79 3 50
3 80 24
3 82 96
82 3 87
3 83 5
3 87 91
3 88 42
3 89 82
89 3 72
3 90 55
3 91 84
3 94 70
3 95 63
3 97 41
4 5 74
4 6 85
6 4 7
4 8 59
8 4 71
4 9 68
9 4 56
4 10 84
4 11 58
4 12 69
4 13 40
4 14 50
4 15 27
15 4 13
4 17 52
4 19 24
4 20 82
4 23 3
4 24 73
4 25 64
4 26 66
26 4 66
4 27 93
4 28 7
4 30 30
4 31 68
31 4 85
4 32 29
32 4 62
4 33 55
4 34 87
4 35 4
35 4 76
4 36 33
4 38 28
4 39 37
4 40 16
4 41 66
4 42 57
4 43 1
4 44 30
4 45 3
4 46 21
4 48 7
4 49 97
49 4 73
4 52 99
4 53 45
4 54 56
4 55 9
4 56 74
4 57 60
57 4 88
4 59 63
4 60 67
60 4 51
4 61 96
4 62 21
4 63 73
4 64 88
4 65 83
65 4 5
4 66 79
4 67 81
4 68 35
4 69 38
4 70 67
4 71 22
71 4 37
4 74 49
4 77 54
4 78 6
78 4 62
4 79 11
4 80 12
4 81 50
4 83 65
4 84 54
84 4 98
4 85 94
4 86 97
4 87 54
4 89 7
4 90 21
4 91 67
4 92 63
4 93 95
4 94 47
4 96 71
96 4 84
4 97 13
97 4 51
4 99 72
5 7 33
5 9 6
5 10 81
5 11 63
5 12 23
12 5 71
5 13 55
5 14 96
14 5 63
5 16 42
5 18 13
5 20 38
5 21 70
5 23 56
5 24 65
5 25 60
5 26 32
5 28 57
5 30 31
5 32 2
5 33 94
5 34 47
5 35 9
5 36 38
5 37 71
5 39 100
5 40 20
5 43 88
5 44 24
5 46 15
5 49 96
5 52 17
5 53 77
53 5 81
5 54 76
5 55 12
5 56 62
5 57 34
5 58 82
5 59 17
5 60 24
5 61 86
5 62 94
5 63 5
5 66 6
5 69 60
5 70 3
5 71 99
5 72 57
5 73 66
5 75 10
75 5 59
5 76 44
5 80 55
5 84 50
5 85 7
5 86 88
5 87 56
5 88 96
5 89 61
5 91 12
5 92 6
5 95 70
5 97 86
5 99 91
99 5 73
6 9 93
6 12 94
6 14 33
14 6 69
6 15 16
6 16 68
6 17 49
6 19 88
6 20 48
6 22 93
6 24 83
24 6 74
6 26 91
6 27 73
6 28 91
6 29 94
6 30 74
6 31 43
31 6 65
6 32 10
6 33 31
6 35 7
6 36 8
36 6 51
6 37 64
6 38 5
6 39 36
6 40 53
6 41 93
6 43 14
6 44 66
6 46 16
6 47 62
6 49 57
6 50 54
6 51 25
6 52 52
52 6 36
6 53 46
6 54 83
54 6 37
6 55 53
6 56 48
6 57 5
6 58 68
6 59 11
6 60 72
6 61 81
61 6 47
6 63 62
6 64 51
6 65 70
6 66 60
6 67 50
6 69 73
6 70 88
6 71 62
6 72 20
6 73 98
73 6 100
6 74 20
6 75 72
6 76 100
6 77 28
77 6 52
6 78 57
6 79 71
6 81 7
6 82 96
6 84 93
6 85 32
6 87 72
6 88 68
6 89 17
6 90 99
6 91 33
6 92 98
6 95 30
6 96 45
6 97 48
7 8 91
7 9 78
7 10 98
7 13 85
7 15 47
15 7 34
7 17 78
7 18 64
7 19 64
7 20 28
7 21 80
7 22 34
7 23 17
7 24 64
7 25 52
7 26 72
7 30 73
7 31 40
7 33 52
7 35 96
7 36 61
7 38 29
7 39 56
7 40 70
7 42 17
7 45 38
7 46 65
7 48 91
7 49 4
49 7 93
7 52 73
7 53 39
7 54 47
7 55 29
7 56 30
56 7 35
7 59 99
7 60 10
7 62 14
7 64 4
7 65 41
65 7 61
7 66 91
7 67 64
7 68 48
7 69 11
7 70 54
7 71 38
7 72 28
7 73 97
73 7 70
7 74 8
7 76 59
7 77 2
7 78 93
7 79 20
7 81 69
7 82 55
7 84 27
7 88 46
7 89 69
7 90 41
7 91 64
91 7 41
7 93 95
7 94 33
7 95 4
7 96 49
7 98 15
98 7 43
7 99 66
8 10 45
8 11 96
8 12 37
8 13 12
8 14 94
8 16 31
8 17 45
8 18 12
8 20 94
8 21 84
8 23 27
8 24 16
8 25 33
25 8 61
8 27 61
8 29 99
8 30 1
8 33 18
33 8 16
8 35 50
35 8 29
8 36 27
36 8 48
8 37 81
8 39 40
8 40 32
8 41 89
41 8 46
8 44 19
8 47 72
8 49 25
8 50 89
8 52 3
8 54 22
8 55 13
8 57 91
8 59 12
59 8 8
8 61 17
8 63 95
8 64 61
8 67 92
8 68 24
8 70 11
8 71 68
8 72 1
8 73 40
8 75 21
8 76 44
8 77 65
8 78 23
8 80 24
8 81 93
8 82 87
8 84 11
8 85 41
8 86 61
8 87 20
8 89 20
8 90 3
8 91 5
8 92 54
8 93 54
8 94 5
8 95 11
8 96 47
8 97 14
8 98 17
8 99 35
9 11 82
9 12 66
9 14 66
9 15 19
9 16 57
9 17 36
17 9 19
9 18 93
9 20 38
9 22 15
9 23 35
23 9 43
9 24 39
9 25 24
9 26 98
9 27 31
9 31 68
9 34 13
9 35 58
9 36 41
9 37 16
9 38 40
9 39 61
9 40 89
9 41 7
9 42 65
9 43 35
9 45 1
9 46 46
9 47 51
47 9 45
9 48 23
9 49 70
9 50 18
9 51 76
9 52 48
9 53 22
9 56 16
56 9 49
9 60 46
9 62 74
9 64 77
64 9 5
9 65 33
9 66 63
9 67 2
67 9 21
9 68 61
9 69 17
9 70 23
9 74 55
9 75 92
9 79 33
9 80 74
9 81 26
9 83 72
83 9 24
9 84 86
9 86 67
9 87 86
9 88 66
9 90 65
9 91 57
9 92 37
9 93 28
9 94 64
9 95 36
9 96 98
96 9 70
9 97 88
9 99 65
10 11 82
10 13 30
10 15 14
10 16 6
10 17 95
10 18 9
10 20 77
10 21 13
10 23 65
10 24 56
10 25 65
10 26 11
10 27 78
10 28 78
10 29 4
29 10 64
10 30 38
10 34 65
10 35 63
10 36 76
10 37 96
10 38 33
10 39 22
10 40 38
10 42 31
10 43 31
43 10 37
10 44 93
10 45 29
10 47 68
10 48 66
10 50 12
50 10 38
10 51 91
10 53 90
10 54 38
10 56 69
10 58 53
10 60 28
10 62 13
10 64 7
10 68 50
10 69 59
10 70 61
10 71 64
10 73 79
10 74 81
74 10 29
10 75 11
10 76 36
76 10 95
10 78 1
10 79 7
10 82 53
10 83 13
83 10 67
10 85 38
10 86 14
10 88 27
10 89 27
10 90 51
10 91 78
10 92 58
10 94 16
10 95 85
10 97 21
10 98 38
10 99 40
11 14 7
11 15 99
11 18 33
11 22 2
11 23 54
23 11 69
11 26 85
26 11 60
11 27 3
11 29 24
11 31 15
11 32 98
11 35 53
11 36 17
11 37 80
11 38 17
38 11 7
11 40 43
11 43 81
11 44 49
11 46 60
11 47 33
47 11 71
11 48 80
11 49 95
11 52 19
11 53 57
11 54 18
11 55 51
11 56 58
11 57 32
11 59 76
59 11 90
11 60 48
11 62 30
11 64 48
11 65 66
11 66 95
11 68 77
11 69 88
11 70 86
11 71 46
11 73 9
11 74 99
11 75 68
11 76 5
11 77 98
11 78 8
11 80 52
11 82 69
82 11 47
11 84 60
11 85 87
85 11 100
11 86 6
11 87 84
11 90 60
90 11 45
11 91 42
11 92 11
11 93 80
11 94 72
11 95 87
11 97 74
11 98 17
12 15 63
12 16 95
12 17 60
17 12 45
12 18 12
18 12 97
12 19 24
12 20 4
12 21 82
12 22 79
12 23 54
12 25 91
12 26 51
12 28 2
12 29 80
12 31 89
31 12 56
12 32 41
12 35 27
12 36 55
12 38 13
12 39 33
12 40 79
12 41 7
41 12 13
12 42 49
12 45 38
12 46 23
12 49 82
12 50 3
12 51 11
51 12 17
12 52 48
12 54 73
12 55 14
12 57 39
12 58 88
12 60 97
12 61 50
12 63 92
12 64 36
12 65 50
12 66 69
12 68 38
12 69 71
12 70 29
12 72 9
12 75 79
12 78 2
12 79 89
12 81 81
12 82 82
12 83 97
12 85 13
12 89 85
12 90 19
12 93 8
12 94 65
12 95 77
12 98 21
98 12 83
12 99 22
13 14 8
13 15 78
13 16 12
13 17 18
13 18 87
13 19 14
13 20 32
13 21 23
13 22 94
13 24 21
13 25 47
13 26 1
26 13 56
13 29 99
13 30 99
13 32 64
32 13 100
13 33 45
13 34 45
13 35 87
13 37 16
13 39 94
39 13 84
13 40 64
13 42 12
13 44 47
44 13 14
13 46 66
13 47 2
13 48 79
13 50 32
13 51 45
13 52 93
13 54 60
13 56 57
13 63 99
13 64 17
64 13 72
13 65 66
13 66 2
66 13 74
13 67 23
13 68 49
13 70 59
13 71 82
13 73 77
13 74 77
74 13 25
13 75 11
13 76 29
13 80 30
13 81 66
13 83 28
13 87 56
13 89 53
89 13 39
13 90 82
13 91 59
13 92 87
13 94 61
13 95 12
13 97 67
13 98 50
13 99 42
14 17 2
17 14 17
14 18 21
14 19 91
14 20 8
14 22 2
14 24 19
24 14 81
14 27 94
14 28 3
14 29 1
14 30 12
30 14 24
14 32 39
14 33 45
14 37 21
14 39 61
14 40 8
14 41 2
14 42 34
14 43 24
43 14 84
14 44 81
14 45 68
14 47 63
14 48 99
14 50 95
14 53 54
14 55 26
14 56 7
14 57 48
14 58 77
14 59 26
14 60 33
14 62 50
62 14 34
14 64 80
14 68 27
14 69 72
14 71 96
71 14 48
14 72 94
72 14 66
14 73 97
14 74 55
14 75 43
14 76 9
14 77 96
14 79 57
14 80 74
14 81 62
14 83 73
14 84 89
14 86 20
14 87 16
14 88 34
14 90 31
14 92 30
14 94 47
14 96 23
14 98 42
14 99 53
15 18 78
15 19 52
15 20 8
15 21 87
15 22 9
15 24 13
24 15 98
15 26 33
15 27 56
27 15 56
15 29 66
29 15 71
15 30 7
30 15 16
15 31 68
31 15 25
15 32 76
15 34 56
15 35 92
15 36 97
15 37 63
15 38 90
15 39 82
15 40 32
15 41 99
15 44 37
15 46 37
15 47 41
15 48 1
15 49 96
15 50 11
15 51 72
15 53 79
15 54 16
15 55 26
15 57 10
15 58 93
15 62 34
15 64 12
15 65 81
15 66 44
15 67 15
15 75 69
15 77 33
15 78 43
15 79 84
15 80 83
15 81 59
15 83 80
15 84 27
15 88 67
15 89 98
15 92 86
15 94 51
94 15 21
15 95 18
16 19 67
16 20 57
16 24 45
16 25 16
16 26 89
16 27 76
16 28 62
16 30 97
16 31 31
16 32 36
16 35 100
16 40 69
16 41 10
16 42 52
16 46 44
16 47 26
16 48 76
16 49 10
16 50 84
16 51 92
16 53 84
16 54 78
16 56 28
16 57 65
16 58 91
16 59 29
59 16 16
16 60 19
16 61 99
61 16 24
16 62 50
16 63 98
16 64 11
16 65 13
16 66 20
16 67 53
16 68 18
16 69 4
16 70 23
16 73 22
16 75 40
16 76 4
16 78 9
16 79 47
16 80 69
16 81 31
16 82 32
16 85 62
16 86 89
16 87 79
16 90 76
16 91 48
16 92 29
92 16 95
16 95 53
16 96 5
16 97 98
16 98 79
17 18 16
17 19 92
17 20 22
17 22 19
17 23 92
17 24 80
17 25 82
17 27 52
17 28 28
17 29 27
17 30 70
17 31 18
17 33 69
17 34 82
17 35 21
17 36 69
17 37 65
17 38 8
17 39 30
17 40 65
17 41 35
17 42 22
17 43 7
17 46 96
17 47 28
17 49 85
17 50 2
17 51 12
17 52 35
17 53 57
17 54 88
17 55 54
17 57 49
17 59 76
17 60 85
17 63 4
17 66 71
17 67 70
17 69 20
17 70 31
17 71 95
17 72 26
17 73 10
17 76 92
17 77 79
17 79 68
17 82 10
17 84 45
17 85 23
17 86 29
17 87 50
17 88 86
17 92 86
92 17 25
17 93 1
17 96 22
17 97 24
17 99 88
18 20 24
18 21 28
18 23 85
18 24 7
18 26 25
18 29 79
18 30 81
30 18 29
18 31 9
31 18 92
18 32 15
32 18 34
18 33 61
18 34 77
18 36 41
18 38 37
18 41 64
18 42 87
18 43 8
18 46 87
18 47 18
47 18 26
18 48 24
18 49 100
18 52 21
18 53 23
18 54 10
18 56 90
18 57 71
18 58 88
18 59 76
18 60 30
18 61 43
18 63 43
18 64 86
18 65 79
65 18 81
18 66 56
66 18 18
18 67 78
18 68 13
18 69 88
18 79 99
18 80 23
18 81 22
81 18 63
18 83 95
18 86 43
18 87 44
18 90 97
90 18 13
18 91 48
18 92 100
18 94 42
18 95 48
18 96 47
18 97 95
18 98 17
18 99 65
19 20 46
19 22 38
19 23 79
19 25 19
19 26 45
19 28 66
19 32 34
19 36 51
19 37 23
19 38 7
19 39 50
19 40 27
19 42 39
19 44 89
44 19 77
19 46 72
19 47 37
19 48 50
19 50 91
50 19 100
19 51 10
19 53 82
19 56 46
19 57 5
19 58 39
19 59 60
19 60 58
19 62 72
19 63 56
19 64 21
64 19 68
19 65 89
19 66 96
19 67 49
19 69 6
19 70 21
19 71 78
71 19 28
19 72 75
19 75 3
19 76 74
19 77 30
19 78 86
19 79 19
79 19 56
19 80 58
19 81 88
81 19 39
19 82 27
19 83 47
19 84 20
19 85 64
19 88 45
19 89 21
19 90 40
19 91 58
19 92 66
19 93 35
93 19 95
19 95 7
19 96 57
20 21 42
20 22 67
20 24 74
24 20 18
20 26 85
20 27 42
20 29 67
20 30 98
20 31 83
20 33 47
20 35 76
20 36 15
20 37 25
20 38 31
20 39 75
20 41 67
20 44 36
20 45 78
20 46 89
20 47 4
20 49 90
20 50 75
20 51 8
20 53 45
20 54 72
20 55 35
20 60 75
20 61 19
20 63 73
20 64 54
20 67 37
20 68 31
20 69 13
20 71 9
20 72 41
72 20 63
20 74 39
20 77 75
20 78 21
20 79 91
20 80 62
20 81 58
81 20 61
20 82 73
82 20 22
20 83 29
20 84 44
20 85 10
20 86 6
20 90 16
20 91 93
20 92 1
20 93 85
20 94 23
20 97 14
20 98 32
21 22 36
21 25 98
21 27 59
21 28 50
21 29 64
21 30 79
21 31 54
21 32 21
21 33 67
21 34 49
21 39 90
21 40 67
21 41 27
21 42 52
21 43 11
43 21 65
21 45 8
45 21 43
21 46 42
21 50 12
50 21 86
21 51 20
21 54 8
21 55 93
55 21 31
21 56 49
21 57 32
21 58 1
21 60 99
21 61 62
21 62 76
21 63 32
21 64 29
21 65 32
21 66 75
21 67 54
21 68 99
21 69 12
21 71 90
21 74 19
21 75 5
21 77 56
21 82 10
21 83 93
21 84 22
21 85 87
21 87 10
21 88 95
21 91 58
21 92 18
21 94 4
21 95 21
21 96 79
21 97 59
21 98 11
21 99 90
22 23 41
22 25 13
22 26 72
22 29 7
22 30 84
22 32 88
22 33 28
22 36 80
22 37 22
22 39 90
22 40 42
22 41 58
22 42 43
22 44 7
22 45 61
22 46 93
22 47 36
22 49 5
22 50 79
22 51 12
22 52 97
22 53 35
22 54 28
22 55 37
22 56 55
22 57 6
22 59 71
22 60 62
22 61 24
22 62 63
22 63 31
22 64 90
22 65 60
65 22 17
22 66 95
66 22 66
22 67 76
22 69 82
22 70 30
22 71 100
22 72 28
22 73 14
22 74 45
22 75 47
75 22 87
22 76 55
22 78 6
22 79 73
22 80 53
80 22 73
22 81 50
22 83 92
22 85 28
22 86 53
22 87 34
22 88 73
88 22 11
22 89 59
22 92 95
22 93 19
22 97 8
22 98 92
22 99 57
23 24 52
23 26 95
23 27 9
23 28 7
23 29 74
23 30 48
23 31 32
23 32 57
23 33 45
23 34 61
34 23 79
23 35 6
23 37 94
37 23 67
23 38 95
23 39 45
23 40 79
23 41 80
23 42 88
23 43 84
23 45 18
23 48 41
23 49 98
23 50 11
23 51 74
23 54 26
23 56 7
23 58 29
23 59 44
23 60 17
23 61 78
61 23 58
23 62 7
23 63 92
23 65 7
23 66 61
23 69 79
23 70 60
23 72 98
23 73 89
23 75 88
23 76 66
23 78 50
23 79 40
23 80 44
23 82 3
23 83 28
23 84 2
23 85 83
23 86 63
23 87 17
23 89 4
23 90 24
23 92 35
23 93 7
23 94 78
23 95 69
24 25 10
24 26 77
24 27 21
24 28 73
24 29 13
24 30 68
24 31 83
24 33 81
24 34 48
24 36 5
24 37 8
24 39 82
24 40 26
40 24 46
24 41 100
41 24 82
24 43 63
24 46 34
24 47 18
24 49 24
24 51 79
24 52 89
24 53 10
24 54 60
24 56 30
56 24 87
24 57 43
24 59 34
24 61 11
24 62 50
62 24 75
24 63 17
63 24 83
24 66 79
24 70 11
24 71 48
24 73 51
24 74 90
74 24 9
24 77 28
24 78 36
24 79 39
24 81 71
24 82 13
24 83 21
24 85 83
85 24 55
24 88 17
88 24 91
24 90 22
24 92 17
24 93 52
24 96 16
24 97 61
24 98 44
25 26 50
25 27 17
25 29 8
25 30 86
25 31 13
25 32 53
25 34 11
25 35 31
25 36 20
25 37 4
25 39 86
25 40 30
25 41 65
25 42 35
25 44 84
25 46 25
25 47 67
25 49 66
25 50 12
25 52 33
25 53 75
25 55 8
25 56 61
56 25 16
25 57 59
25 58 78
25 59 34
25 60 86
25 62 74
25 63 33
25 64 30
25 65 53
25 67 27
25 68 34
25 69 83
25 70 100
25 71 40
71 25 40
25 72 16
25 73 50
25 74 52
25 76 76
25 80 13
25 83 71
83 25 52
25 84 76
25 86 76
25 87 83
25 89 8
25 90 49
25 91 12
25 92 36
25 93 56
25 94 3
25 96 80
25 98 41
26 27 37
27 26 68
26 28 72
26 32 18
26 33 98
26 35 56
26 36 12
26 38 95
26 39 17
26 41 90
26 43 98
26 44 33
26 45 83
26 51 44
26 54 71
26 55 1
26 56 93
26 57 21
26 59 88
26 62 84
26 63 99
26 64 20
26 65 13
26 66 34
26 67 32
26 68 39
26 69 59
26 71 96
26 74 16
26 75 17
26 76 87
26 77 86
26 78 97
26 79 21
26 80 14
26 81 36
26 84 17
26 86 34
26 87 7
26 88 66
26 89 79
26 91 66
26 92 42
92 26 13
26 93 98
26 94 55
26 95 10
26 96 31
26 97 14
26 98 13
26 99 24
99 26 100
27 31 8
27 33 41
27 36 100
27 38 91
38 27 46
27 39 4
27 40 57
27 41 35
27 42 82
27 44 29
27 45 34
27 46 48
27 48 20
27 49 86
27 51 65
27 52 59
27 53 15
27 55 78
55 27 71
27 57 21
27 60 88
60 27 52
27 61 83
27 63 21
27 65 82
27 66 76
27 67 39
27 68 45
27 71 94
71 27 12
27 74 27
27 75 18
27 77 57
27 78 33
27 79 83
27 80 20
27 81 10
27 82 7
27 84 24
27 87 86
27 88 42
88 27 84
27 89 89
27 90 3
27 91 31
27 93 76
27 94 55
27 95 29
27 96 67
27 98 77
27 99 15
28 29 42
28 31 55
28 32 72
28 33 20
28 34 81
28 36 23
36 28 66
28 39 87
28 41 3
28 42 76
28 44 8
28 46 74
28 48 15
28 49 64
28 52 29
52 28 77
28 54 69
28 56 28
28 58 27
28 60 18
28 61 21
28 63 2
28 64 38
28 65 89
65 28 55
28 66 95
28 68 80
68 28 3
28 69 9
28 70 67
28 71 42
28 72 96
28 73 93
28 76 79
28 77 13
28 79 70
28 81 57
28 84 87
28 85 68
28 87 35
28 89 47
28 90 26
28 91 16
28 92 70
28 94 100
28 95 61
28 97 58
28 98 50
28 99 60
29 31 92
29 32 63
29 33 39
29 37 57
29 39 16
29 41 36
29 43 98
29 44 94
29 45 50
29 46 66
29 47 37
29 48 85
29 49 5
29 52 70
29 55 15
29 56 67
29 57 45
29 58 51
29 60 19
29 61 93
29 64 93
29 65 49
29 66 81
29 67 55
29 68 36
29 70 86
29 71 31
29 72 46
29 73 88
29 74 57
74 29 6
29 79 21
79 29 62
29 81 6
29 82 50
29 85 87
29 86 30
29 88 35
29 90 85
29 91 35
29 92 78
29 94 99
29 95 21
29 96 54
30 31 90
30 32 74
30 33 53
30 37 44
30 40 30
30 41 59
30 42 89
30 44 3
30 45 31
30 48 98
30 49 55
30 50 68
30 51 41
30 54 94
30 55 27
30 56 35
30 58 98
30 59 52
30 60 55
30 62 79
30 63 80
30 65 70
30 68 90
30 70 16
30 71 63
30 76 27
30 77 94
30 78 95
78 30 44
30 79 27
30 80 19
30 81 96
30 83 91
30 84 53
84 30 95
30 85 99
30 86 37
30 88 70
30 90 62
30 92 2
30 95 41
95 30 90
30 96 52
30 97 80
30 98 53
31 32 19
31 33 95
31 34 80
31 36 4
36 31 13
31 37 84
37 31 80
31 39 40
31 40 16
31 41 13
31 43 10
31 44 16
31 45 15
31 46 61
31 47 98
31 48 56
31 49 47
31 54 23
31 55 53
55 31 89
31 56 64
31 57 74
31 58 65
31 59 15
31 61 61
31 63 7
31 64 55
64 31 84
31 67 10
31 68 85
31 69 81
31 71 56
31 72 39
72 31 68
31 74 89
31 76 24
31 77 96
31 78 45
31 79 46
31 81 26
31 82 94
31 83 89
31 84 81
31 85 33
31 87 82
31 89 71
31 92 4
31 93 5
31 94 84
31 95 2
31 96 77
31 97 2
31 99 67
32 33 81
32 35 74
32 36 28
32 37 98
32 39 8
39 32 66
32 40 10
32 41 4
32 45 42
32 47 41
32 48 27
32 49 9
49 32 27
32 51 73
32 52 95
32 54 49
32 55 21
32 56 69
32 57 8
32 58 4
58 32 25
32 59 74
32 60 93
32 61 34
32 62 88
32 63 6
32 64 87
32 67 65
32 68 84
32 70 45
32 71 81
32 73 19
32 74 48
74 32 52
32 75 74
32 76 50
32 77 22
32 79 70
32 80 17
32 84 31
32 85 97
85 32 38
32 86 88
32 88 16
32 89 13
32 91 87
91 32 82
32 92 25
32 96 96
32 97 59
32 98 33
33 34 71
33 37 77
33 39 75
39 33 10
33 40 75
33 41 23
33 42 60
33 43 52
33 44 65
33 45 46
33 46 20
33 47 11
33 48 54
33 51 93
33 52 97
33 53 27
33 55 42
33 57 46
33 58 44
33 60 29
33 62 62
33 63 12
33 64 26
33 65 97
33 66 2
33 67 96
33 69 73
33 70 99
33 71 15
33 72 66
33 73 55
73 33 95
33 78 20
33 79 31
79 33 70
33 80 41
33 81 61
33 83 71
83 33 47
33 85 8
33 86 62
33 87 8
33 88 71
33 89 65
33 90 72
90 33 75
33 91 39
33 92 90
33 93 58
33 95 59
33 96 13
33 97 27
33 98 36
34 35 40
34 36 21
34 38 13
34 39 6
34 41 21
34 43 80
34 44 75
34 46 73
34 48 100
34 49 7
49 34 31
34 51 94
51 34 71
34 54 45
34 56 91
56 34 78
34 57 89
34 58 62
34 59 51
34 60 2
34 61 19
34 62 52
34 63 77
34 64 19
34 65 24
34 66 11
34 68 75
34 69 49
34 71 32
34 72 80
34 73 60
34 74 26
34 75 49
34 76 15
34 77 30
34 78 93
34 79 48
79 34 82
34 80 7
34 81 93
34 82 16
82 34 38
34 83 97
34 84 27
34 85 48
34 86 34
34 88 80
34 90 100
34 91 19
34 95 15
34 96 30
34 97 15
34 98 15
34 99 72
35 36 62
35 37 86
35 41 22
35 43 84
35 45 8
35 47 27
35 49 94
35 50 12
35 54 2
35 57 70
35 59 25
35 63 41
35 65 43
65 35 24
35 66 74
66 35 85
35 68 68
35 69 42
35 70 40
35 71 91
35 72 41
35 74 73
35 75 79
35 76 74
35 78 56
35 79 48
35 80 89
35 81 24
35 82 82
35 83 50
35 89 1
35 91 36
35 92 98
92 35 86
35 94 48
35 95 6
35 96 41
35 97 97
35 98 41
35 99 48
36 37 18
36 38 55
36 39 88
36 40 5
36 41 21
36 42 24
36 43 59
36 47 47
36 51 33
36 52 9
36 54 11
36 55 85
36 57 3
36 60 13
36 61 97
36 62 28
36 63 40
36 65 49
36 67 34
36 68 2
36 69 74
69 36 83
36 71 81
36 73 6
36 74 71
36 76 68
36 77 28
36 78 4
36 80 11
36 81 1
36 83 69
36 84 66
36 88 21
36 91 77
36 93 90
36 94 35
36 95 98
36 96 99
36 97 17
36 98 51
37 38 10
37 39 59
39 37 23
37 40 13
37 41 19
37 43 83
37 45 64
37 46 97
37 52 7
37 55 7
37 56 28
37 57 87
37 58 82
37 61 11
37 63 14
37 65 62
37 66 19
37 67 9
37 68 61
37 69 21
69 37 82
37 70 67
37 71 88
37 72 89
37 73 69
37 75 1
37 76 37
37 77 40
77 37 70
37 78 94
37 80 51
37 83 24
37 86 89
37 88 45
37 89 24
37 90 69
90 37 65
37 91 23
37 92 68
37 93 59
37 94 92
37 96 55
37 97 46
37 98 96
37 99 30
38 39 51
38 40 95
38 41 30
38 42 83
38 43 67
38 45 32
38 46 13
46 38 28
38 47 41
38 48 66
38 50 69
38 51 15
51 38 27
38 52 99
38 53 92
38 54 64
38 55 57
38 57 7
38 59 68
38 60 60
38 61 98
38 62 80
38 63 34
38 64 97
38 65 92
38 66 86
38 68 50
68 38 38
38 69 89
38 70 83
38 71 24
38 72 66
38 74 41
38 78 32
38 79 38
38 80 35
38 82 14
38 83 22
38 84 26
84 38 72
38 86 4
38 87 98
38 89 47
38 91 80
38 92 63
38 94 9
38 95 52
38 96 94
38 97 66
38 98 45
38 99 36
39 41 100
39 42 19
39 43 26
39 44 85
39 45 49
39 46 25
39 48 38
39 49 9
39 51 44
39 52 55
39 53 68
39 54 85
39 56 38
39 58 95
